"SEQ";"SIGLA";"NOME CURTO";"NOME LONGO";"DEFINIÇÃO";"CATEGORIA";"SUBCATEGORIA"
79;"PMPOB";"% de pobres";"Proporção de pobres";"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 140,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"pobreza"
80;"PMPOBCRI";"% de crianças pobres";"Proporção de crianças pobres";"Proporção dos indivíduos com até 14 anos de idade que têm renda domiciliar per capita igual ou inferior a R$ 140,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles com até 14 anos e que vivem em domicílios particulares permanentes.";"renda";"pobreza"
81;"PPOB";"% de vulneráveis à pobreza";"Proporção de vulneráveis à pobreza";"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 255,00 mensais, em reais de agosto de 2010, equivalente a 1/2 salário mínimo nessa data. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"pobreza"
82;"PPOBCRI";"% de crianças vulneráveis à pobreza";"Proporção de crianças vulneráveis à pobreza";"Proporção dos indivíduos com até 14 anos de idade que têm renda domiciliar per capita igual ou inferior a R$ 255,00 mensais, em reais de agosto de 2010, equivalente a 1/2 salário mínimo nessa data. O universo de indivíduos é limitado àqueles com até 14 anos e que vivem em domicílios particulares permanentes.";"renda";"pobreza"
83;"PREN10RICOS";"Percentual da renda apropriada pelos 10% mais ricos";"Percentual da renda total apropriada pelos 10% da população com maior renda domiciliar per capita";"Percentual da renda total apropriada pelos indivíduos pertencentes ao décimo mais rico da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
84;"PREN20";"Percentual da renda apropriada pelos 20% mais pobres";"Percentual da renda total apropriada pelos 20% da população com menor renda domiciliar per capita";"Percentual da renda total apropriada pelos indivíduos pertencentes ao quinto mais pobre da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
85;"PREN20RICOS";"Percentual da renda apropriada pelos 20% mais ricos";"Percentual da renda total apropriada pelos 20% da população com maior renda domiciliar per capita";"Percentual da renda total apropriada pelos indivíduos pertencentes ao quinto mais rico da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
86;"PREN40";"Percentual da renda apropriada pelos 40% mais pobres";"Percentual da renda total apropriada pelos 40% da população com menor renda domiciliar per capita";"Percentual da renda total apropriada pelos indivíduos pertencentes aos dois quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
87;"PREN60";"Percentual da renda apropriada pelos 60% mais pobres";"Percentual da renda total apropriada pelos 60% da população com menor renda domiciliar per capita";"Percentual da renda total apropriada pelos indivíduos pertencentes aos três quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
88;"PREN80";"Percentual da renda apropriada pelos 80% mais pobres";"Percentual da renda total apropriada pelos 80% da população com menor renda domiciliar per capita";"Percentual da renda total apropriada pelos indivíduos pertencentes aos quatro quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
89;"PRENTRAB";"% da renda proveniente de rendimentos do trabalho";"Percentual da renda proveniente de rendimentos do trabalho";"Participação percentual das rendas provenientes do trabalho (principal e outros) na renda total, considerando-se apenas as pessoas que vivem em domicílios particulares permanentes. ";"renda";"nível de renda"
90;"R1040";"Razão 10% mais ricos / 40% mais pobres";"Razão 10% mais ricos / 40% mais pobres";"Medida do grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Compara a renda per capita média dos indivíduos pertencentes ao décimo mais rico dessa distribuição com a renda capita média dos indivíduos pertencentes aos dois quintos mais pobres. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"desigualdade de renda"
91;"R2040";"Razão 20% mais ricos / 40% mais pobres";"Razão 20% mais ricos / 40% mais pobres";"Medida do grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Compara a renda per capita média dos indivíduos pertencentes ao quinto mais rico dessa distribuição com a renda per capita média dos indivíduos pertencentes aos dois quintos mais pobres. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"desigualdade de renda"
92;"RDPC";"Renda per capita ";"Renda per capita média";"Razão entre o somatório da renda de todos os indivíduos residentes em domicílios particulares permanentes e o número total desses indivíduos. Valores em reais de 01/agosto de 2010.";"renda";"nível de renda"
93;"RDPC1";"Renda per capita média do 1º quinto mais pobre";"Renda domiciliar per capita média do quinto mais pobre";"Média da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.";"renda";"nível de renda"
94;"RDPC10";"Renda per capita média do décimo mais rico";"Renda domiciliar per capita média do décimo mais rico";"Média da renda domiciliar per capita dos indivíduos pertencentes ao décimo mais rico da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.";"renda";"nível de renda"
95;"RDPC2";"Renda per capita média do 2º quinto mais pobre";"Renda domiciliar per capita  média do 2º quinto mais pobre";"Média da renda domiciliar per capita dos indivíduos pertencentes ao 2º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.";"renda";"nível de renda"
96;"RDPC3";"Renda per capita média do 3º quinto mais pobre";"Renda domiciliar per capita  média do 3º quinto mais pobre";"Média da renda domiciliar per capita dos indivíduos pertencentes ao 3º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.";"renda";"nível de renda"
97;"RDPC4";"Renda per capita média do 4º quinto mais pobre";"Renda domiciliar per capita  média do 3º quinto mais pobre";"Média da renda domiciliar per capita dos indivíduos pertencentes ao 4º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.";"renda";"nível de renda"
98;"RDPC5";"Renda per capita média do quinto mais rico";"Renda domiciliar per capita média do quinto mais rico";"Média da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais rico da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.";"renda";"nível de renda"
99;"RDPCT";"Renda per capita , exceto renda nula";"Renda domiciliar per capita média, exceto renda nula";"Razão entre o somatório da renda domiciliar per capita de todos os indivíduos residentes em domicílios particulares permanentes com renda não-nula e o número total desses indivíduos. Valores em reais de 01/agosto de 2010.";"renda";"nível de renda"
100;"RIND";"Renda per capita média dos extremamente pobres";"Renda domiciliar per capita média dos extremamente pobres";"Média da renda domiciliar per capita das pessoas com renda domiciliar per capita igual ou inferior a R$ 70,00 mensais, a preços de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
101;"RMPOB";"Renda per capita média dos pobres";"Renda domiciliar per capita média dos pobres";"Média da renda domiciliar per capita das pessoas com renda domiciliar per capita igual ou inferior a R$ 140,00 mensais, a preços de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
102;"RPOB";"Renda per capita média dos vulneráveis à pobreza";"Renda domiciliar per capita média dos vulneraveis à pobreza";"Média da renda domiciliar per capita das pessoas com renda domiciliar per capita igual ou inferior a R$ 255,00 mensais, a preços de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"nível de renda"
103;"THEIL";"Índice de Theil - L";"Índice de Theil - L";"Mede a desigualdade na distribuição de indivíduos segundo a renda domiciliar per capita, excluídos aqueles com renda domiciliar per capita nula. É o logaritmo da razão entre as médias aritmética e geométrica da renda domiciliar per capita dos indivíduos, sendo nulo quando não existir desigualdade de renda entre eles e tendente ao infinito quando a desigualdade tender ao máximo.";"renda";"desigualdade de renda"
104;"CPR";"% de trabalhadores por conta própria - 18 anos ou mais";"Percentual de ocupados de 18 anos ou mais que são trabalhadores por conta própria.";"Razão entre o número de trabalhadores por conta própria de 18 anos ou mais de idade e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
105;"EMP";"% de empregadores - 18 anos ou mais";"Percentual de ocupados de 18 anos ou mais que são empregadores";"Razão entre o número de empregadores de 18 anos ou mais de idade e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
106;"P_AGRO";"% dos ocupados no setor agropecuário - 18 anos ou mais";"Percentual dos ocupados no setor agropecuário";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor agropecuário e o número total de pessoas ocupadas nessa faixa etária.";"renda";"caracterização dos ocupados"
107;"P_COM";"% dos ocupados no setor comércio - 18 anos ou mais";"Percentual dos ocupados no setor comércio";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor de comércio e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
108;"P_CONSTR";"% dos ocupados no setor de construção - 18 anos ou mais";"Percentual dos ocupados no setor de construção ";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor de construção e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
109;"P_EXTR";"% dos ocupados no setor extrativo mineral - 18 anos ou mais";"Percentual dos ocupados no setor extrativo mineral";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor extrativo mineral e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
110;"P_FORMAL";"Grau de formalização dos ocupados - 18 anos ou mais";"Grau de formalização do trabalho das pessoas ocupadas";"Razão entre o número de pessoas de 18 anos ou mais formalmente ocupadas e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Foram considerados como formalmente ocupados os empregados com carteira de trabalho assinada, os militares do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros, os empregados pelo regime jurídico dos funcionários públicos, assim como os empregadores e trabalhadores por conta própria que eram contribuintes de instituto de previdência oficial.";"renda";"caracterização dos ocupados"
111;"P_FUND";"% dos ocupados com fundamental completo - 18 anos ou mais";"Percentual dos ocupados com fundamental completo";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas que já concluíram o ensino fundamental (regular seriado, regular não seriado, EJA ou supletivo) e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
112;"P_MED";"% dos ocupados com médio completo - 18 anos ou mais";"Percentual dos ocupados com médio completo";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas que já concluíram o ensino médio (regular seriado, regular não seriado, EJA ou supletivo) e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Foram consideradas como já tendo concluído o médio aquelas pessoas que frequentavam a 4ª série desse nível de ensino.";"renda";"caracterização dos ocupados"
113;"P_SERV";"% dos ocupados no setor serviços - 18 anos ou mais";"Percentual dos ocupados no setor serviços";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor de serviços e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
114;"P_SIUP";"% dos ocupados no SIUP - 18 anos ou mais";"Percentual dos ocupados nos setores de serviços industriais de utilidade pública";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas nos setor de serviços industriais de utilidade pública e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Esse setor inclui as atividades constantes das seções D e E do CNAE DOM 2.0: geração, transmissão e distribuição de eletricidade e gás; captação, tratamento e distribuição de água; esgoto e atividades relacionadas; coleta, tratamento e disposição de resíduos e recuperação de materiais; descontaminação e outros serviços de gestão de resíduos.";"renda";"caracterização dos ocupados"
115;"P_SUPER";"% dos ocupados com superior completo - 18 anos ou mais";"Percentual dos ocupados com superior completo";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e que já concluíram a graduação do ensino superior e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
116;"P_TRANSF";"% dos ocupados na indústria de transformação - 18 anos ou mais";"Percentual dos ocupados na indústria de transformação";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas na indústria de transformação e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
117;"REN0";"% dos ocupados sem rendimento - 18 anos ou mais";"Percentual dos ocupados sem rendimento";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e sem rendimento do trabalho e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
118;"REN1";"% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais";"Percentual dos ocupados com rendimento de até 1 salário mínimo";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 1 salário mínimo de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
119;"REN2";"% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais";"Percentual dos ocupados com rendimento de até 2 salários mínimos";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 2 salários mínimos de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
120;"REN3";"% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais";"Percentual dos ocupados com rendimento de até 3 salários mínimo";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 3 salários mínimos de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
121;"REN5";"% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais";"Percentual dos ocupados com rendimento de até 5 salários mínimo";"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 5 salários mínimos de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
122;"RENOCUP";"Rendimento médio dos ocupados - 18 anos ou mais";"Rendimento médio dos ocupados";"Média dos rendimentos de todos os trabalhos das pessoas ocupadas de 18 anos ou mais de idade. Valores em reais de agosto de 2010.";"renda";"caracterização dos ocupados"
123;"T_ATIV";"Taxa de atividade - 10 anos ou mais";"Taxa de atividade das pessoas de 10 anos ou mais de idade";"Razão entre as pessoas de 10 anos ou mais de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.";"trabalho";"atividade e desocupação"
124;"T_ATIV1014";"Taxa de atividade - 10 a 14 anos";"Taxa de atividade das pessoas de 10 a  14 anos de idade";"Razão entre as pessoas de 10 a 14 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.";"trabalho";"atividade e desocupação"
125;"T_ATIV1517";"Taxa de atividade - 15 a 17 anos";"Taxa de atividade das pessoas de 15 a  17 anos de idade";"Razão entre as pessoas de 15 a 17 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.";"trabalho";"atividade e desocupação"
126;"T_ATIV1824";"Taxa de atividade - 18 a 24 anos";"Taxa de atividade das pessoas de 18 a 24 anos de idade";"Razão entre as pessoas de 18 a 24 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.";"trabalho";"atividade e desocupação"
127;"T_ATIV18M";"Taxa de atividade - 18 anos ou mais";"Taxa de atividade das pessoas de 18 anos ou mais de idade";"Razão entre as pessoas de 18 anos ou mais de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.";"trabalho";"atividade e desocupação"
128;"T_ATIV2529";"Taxa de atividade - 25 a 29 anos";"Taxa de atividade das pessoas de 25 a 29 anos de idade";"Razão entre as pessoas de 25 a 29 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.";"trabalho";"atividade e desocupação"
129;"T_DES";"Taxa de desocupação - 10 anos ou mais";"Taxa de desocupação da população de 10 anos ou mais de idade";"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.";"trabalho";"atividade e desocupação"
130;"T_DES1014";"Taxa de desocupação - 10 a 14 anos";"Taxa de desocupação da população de 10 a 14 anos de idade";"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.";"trabalho";"atividade e desocupação"
131;"T_DES1517";"Taxa de desocupação - 15 a 17 anos";"Taxa de desocupação da população de 15 a 17 anos de idade";"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.";"trabalho";"atividade e desocupação"
132;"T_DES1824";"Taxa de desocupação - 18 a 24 anos";"Taxa de desocupação da população de 18 a 24 anos de idade";"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.";"trabalho";"atividade e desocupação"
133;"T_DES18M";"Taxa de desocupação - 18 anos ou mais";"Taxa de desocupação da população de 18 anos ou mais de idade";"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.";"trabalho";"atividade e desocupação"
134;"T_DES2529";"Taxa de desocupação - 25 a 29 anos";"Taxa de desocupação da população de 25 a 29 anos de idade";"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.";"trabalho";"atividade e desocupação"
135;"THEILtrab";"Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais";"Índice de Theil-L dos rendimentos do trabalho";"Mede a desigualdade na distribuição de indivíduos de 18 anos ou mais de idade ocupados, segundo o rendimento de todos os trabalhos, excluídos aqueles sem rendimento do trabalho. É o logaritmo da razão entre as médias aritmética e geométrica do rendimento dos indivíduos, sendo nulo quando não existir desigualdade de renda entre eles e tendente ao infinito quando a desigualdade tender ao máximo.";"renda";"desigualdade de renda"
136;"TRABCC";"% de empregados com carteira - 18 anos ou mais";"Percentual de ocupados de 18 anos ou mais que são empregados com carteira ";"Razão entre o número de empregados de 18 anos ou mais de idade com carteira de trabalho assinada e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
137;"TRABPUB";"% de trabalhadores do setor público - 18 anos ou mais";"Percentual de ocupados de 18 anos ou mais que são trabalhadores do setor público.";"Razão entre o número de trabalhadores do setor público de 18 anos ou mais de idade e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Os trabalhadores do setor público incluem os empregados pelo regime jurídico dos funcionários públicos e os militares do exército, marinha, aeronáutica, polícia militar ou corpo de bombeiros.";"renda";"caracterização dos ocupados"
138;"TRABSC";"% de empregados sem carteira - 18 anos ou mais";"Percentual de ocupados de 18 anos ou mais que são empregados sem carteira ";"Razão entre o número de empregados de 18 anos ou mais de idade sem carteira de trabalho assinada e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.";"renda";"caracterização dos ocupados"
139;"T_AGUA";"% da população em domicílios com água encanada";"Percentual da população que vive em domicílios com água encanada";"Razão entre a população que vive em domicílios particulares permanentes com água canalizada para um ou mais cômodos e a população total residente em domicílios particulares permanentes multiplicado por 100. A água pode ser proveniente de rede geral, de poço, de nascente ou de reservatório abastecido por água das chuvas ou carro-pipa.";"habitação";"acesso a serviços"
140;"T_BANAGUA";"% da população em domicílios com banheiro e água encanada";"Percentual da população que vive em domicílios com banheiro e água encanada";"Razão entre a população que vive em domicílios particulares permanentes com água encanada em pelo menos um de seus cômodos e com banheiro exclusivo e a população total residente em domicílios particulares permanentes multiplicado por 100. A água pode ser proveniente de rede geral, de poço, de nascente ou de reservatório abastecido por água das chuvas ou carro-pipa. Banheiro exclusivo é definido como cômodo que dispõe de chuveiro ou banheira e aparelho sanitário.";"habitação";"acesso a serviços"
141;"T_DENS";"% da população em domicílios com densidade > 2";"Percentual da população que vive em domicílios com densidade superior a 2 pessoas por dormitório";"Razão entre a população que vive em domicílios particulares permanentes com densidade superior a 2 e a população total residente em domicílios particulares permanentes multiplicado por 100. A densidade do domicílio é dada pela razão entre o total de moradores do domicílio e o número total de cômodos usados como dormitório.";"habitação";"características da habitação"
142;"T_LIXO";"% da população em domicílios com coleta de lixo";"Percentual da população que vive em domicílios urbanos com serviço de coleta de lixo";"Razão entre a população que vive em domicílios com coleta de lixo e a população total residente em domicílios particulares permanentes multiplicado por 100. Estão incluídas as situações em que a coleta de lixo realizada diretamente por empresa pública ou privada, ou o lixo é depositado em caçamba, tanque ou depósito fora do domicílio, para posterior coleta pela prestadora do serviço. São considerados apenas os domicílios particulares permanentes localizados em área urbana.";"habitação";"acesso a serviços"
143;"T_LUZ";"% da população em domicílios com energia elétrica";"Percentual da população que vive em domicílios com energia elétrica";"Razão entre a população que vive em domicílios particulares permanentes com iluminação elétrica e a população total residente em domicílios particulares permanentes multiplicado por 100. Considera-se iluminação proveniente ou não de uma rede geral, com ou sem medidor.";"habitação";"acesso a serviços"
144;"AGUA_ESGOTO";"% de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados";"   % de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados";"Razão entre as pessoas que vivem em domicílios cujo abastecimento de água não provem de rede geral e cujo esgotamento sanitário não é realizado por rede coletora de esgoto ou fossa séptica e a população total residente em domicílios particulares permanentes multiplicado por 100. São considerados apenas os domicílios particulares permanentes.
";"habitação";"acesso a serviços"
145;"PAREDE ";"% de pessoas em domicílios com paredes inadequadas";" % de pessoas em domicílios com paredes que não sejam de alvenaria ou madeira aparelhada";"Razão entre as pessoas que vivem em domicílios cujas paredes não são de alvenaria nem de madeira aparelhada e a população total residente em domicílios particulares permanentes multiplicado por 100. São considerados apenas os domicílios particulares permanentes.
";"habitação";"características da habitação"
146;"T_CRIFUNDIN_TODOS";"% de crianças em domicílios em que ninguém tem fundamental completo";"% de crianças que vivem em domicílios em que nenhum dos moradores tem o ensino fundamental completo.";"Razão entre o número de crianças de até 14 anos que vivem em domicílios em que nenhum dos moradores tem o ensino fundamental completo e a população total nesta faixa etária residente em domicílios particulares permanentes multiplicado por 100. São considerados apenas os domicílios particulares permanentes.
";"vulnerabilidade";"infantil"
147;"T_FORA4A5";"% de crianças de 4 a 5 anos fora da escola";"   % de crianças de 4 a 5 anos que não frequenta a escola";"Razão entre o número de crianças de 4 a 5 anos que não frequenta a escola e o total de crianças nesta faixa etária multiplicado por 100.";"vulnerabilidade";"infantil"
148;"T_FORA6A14";"% de crianças de 6 a 14 fora da escola";"   % de crianças de 6 a 14 anos que não frequenta a escola";"Razão entre as crianças de 6 a 14 anos que não frequenta a escola e o total de crianças nesta faixa etária multiplicado por 100.";"vulnerabilidade";"infantil"
149;"T_FUNDIN_TODOS";"% de pessoas em domicílios em que ninguém tem fundamental completo";"% pessoas que vivem em domicílios em que nenhum morador tem o ensino fundamental completo.";"Razão entre as pessoas que vivem em domicílios em que nenhum dos moradores tem o ensino fundamental completo e a população total residente em domicílios particulares permanentes multiplicado por 100.";"vulnerabilidade";"pessoas"
150;"T_FUNDIN_TODOS_MMEIO";"% de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo.";"   % de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo.";"Percentual de pessoas que vivem em domicílios vulneráveis à pobreza (com renda per capita inferior a 1/2 salário mínimo de agosto de 2010) e em que ninguém tem o ensino fundamental completo. São considerados apenas os domicílios particulares permanentes.
";"vulnerabilidade";"pessoas"
151;"T_FUNDIN18MINF";"% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal";"% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal";"Razão entre as pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal e a população total nesta faixa etária multiplicado por 100. Ocupação informal implica que trabalham mas não são: empregados com carteira de trabalho assinada, militares do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros, empregados pelo regime jurídico dos funcionários públicos ou empregadores e trabalhadores por conta própria com contribuição a instituto de previdência oficial.";"vulnerabilidade";"pessoas"
152;"T_M10A14CF";"% de mulheres de 10 a 14 anos que tiveram filhos";"Percentual de mulheres de 10 a 14 anos de idade que tiveram filhos";"Razão entre as mulheres de 10 a 14 anos de idade que tiveram filhos e o total de mulheres nesta faixa etária multiplicado por 100.";"vulnerabilidade";"mulheres"
153;"T_M15A17CF";"% de mulheres de 15 a 17 anos que tiveram filhos";"Percentual de mulheres de 15 a 17 anos de idade que tiveram filhos";"Razão entre as mulheres de 15 a 17 anos de idade que tiveram filhos e o total de mulheres nesta faixa etária multiplicado por 100.";"vulnerabilidade";"mulheres"
154;"T_MULCHEFEFIF014";"% de mães chefes de família sem fundamental completo e com filhos menores de 15 anos";"Percentual de mães chefes de família, sem fundamental completo e com pelo menos um filho menor de 15 anos de idade";"Razão entre o número de mulheres que são responsáveis pelo domicílio, não têm o ensino fundamental completo e têm pelo menos 1 filho de idade inferior a 15 anos morando no domicílio e o número total de mulheres chefes de família multiplicado por 100. São considerados apenas os domicílios particulares permanentes.";"vulnerabilidade";"mulheres"
155;"T_NESTUDA_NTRAB_MMEIO";"% de pessoas de 15 a 24 anos que não estudam nem trabalham e são vulneráveis à pobreza.";" % de pessoas de 15 a 24 anos que não estudam nem trabalham e são vulneráveis à pobreza.";"Razão entre as pessoas de 15 a 24 anos que não estudam nem trabalham e são vulneráveis à pobreza e a população total nesta faixa etária multiplicado por 100. Define-se como vulneráveis à pobreza as pessoas que moram em domicílios com renda per capita inferior a 1/2 salário mínimo de agosto de 2010. São considerados apenas os domicílios particulares permanentes.
";"vulnerabilidade";"pessoas"
